student_id,gender,age,study_hours,attendance,previous_score,sleep_hours,internet_access,final_score
S230,Female,20,5.9,68.7,100.0,9.2,Yes,79.9
S231,Male,21,3.0,80.4,59.6,6.7,Yes,48.7
S232,Male,23,4.9,66.3,47.5,6.6,Yes,54.1
S233,Male,22,4.6,82.9,66.7,7.0,Yes,45.9
S234,Male,23,3.2,57.6,100.0,6.6,Yes,69.6
S235,Male,19,8.8,90.3,55.9,8.0,Yes,57.2
S236,Male,18,5.8,83.7,92.6,5.1,Yes,75.4
S237,Female,18,0.5,81.1,93.2,5.7,Yes,61.2
S238,Female,19,4.9,89.8,59.7,5.7,No,51.6
S239,Male,19,3.2,98.0,76.5,8.1,No,62.8
S240,Female,22,6.2,90.2,92.4,9.1,Yes,80.6
S241,Male,19,2.9,55.9,62.3,6.9,No,49.0
S242,Male,21,4.3,62.6,64.9,6.8,Yes,57.4
S243,Female,23,5.5,70.5,59.3,7.1,Yes,69.3
S244,Female,23,6.2,78.3,52.8,8.4,Yes,46.4
S245,Female,20,2.1,84.2,58.3,5.9,Yes,62.9
S246,Male,19,3.8,69.3,49.6,7.3,Yes,49.5
S247,Female,19,3.6,80.2,68.5,8.2,Yes,52.6
S248,Female,21,3.2,68.9,56.5,7.6,Yes,41.1
S249,Female,18,8.0,70.7,71.5,7.2,Yes,63.4
S250,Female,18,5.3,61.1,44.7,8.2,Yes,54.6
S251,Female,23,2.0,66.9,73.0,4.0,Yes,50.2
S252,Female,23,6.3,61.8,80.5,7.8,Yes,74.0
S253,Female,22,8.7,66.3,38.1,6.2,Yes,41.3
S254,Female,21,6.6,90.6,73.6,4.8,Yes,65.9
S255,Female,20,1.5,66.6,86.4,7.6,Yes,49.4
S256,Male,20,3.5,100.0,49.9,8.6,No,59.6
S257,Female,21,7.0,83.9,93.1,6.8,Yes,80.4
S258,Male,20,3.1,80.2,74.3,8.1,Yes,57.3
S259,Male,18,5.4,67.7,57.4,8.9,Yes,37.1
S260,Female,20,6.0,86.4,67.2,8.6,Yes,66.0
S261,Female,20,2.6,71.1,76.4,9.0,Yes,61.7
S262,Female,21,4.4,79.5,69.1,7.9,Yes,63.0
S263,Male,21,0.5,100.0,76.1,7.1,Yes,69.1
S264,Female,20,2.5,76.8,54.2,5.1,Yes,40.7
S265,Male,19,4.0,91.8,70.5,6.7,Yes,66.9
S266,Female,21,2.0,69.6,46.8,6.0,Yes,51.8
S267,Female,22,7.8,77.6,66.3,9.6,Yes,53.5
S268,Female,22,1.6,99.2,54.4,6.8,Yes,56.1
S269,Female,18,3.6,70.5,57.0,7.1,Yes,47.8
S270,Female,20,4.8,99.7,86.5,7.7,Yes,71.8
S271,Female,19,7.4,86.5,84.4,7.1,Yes,74.8
S272,Male,18,1.6,71.3,77.1,9.0,Yes,53.8
S273,Male,20,6.8,85.6,51.6,6.3,Yes,53.3
S274,Female,21,4.5,89.7,63.3,7.2,Yes,60.4
S275,Female,22,2.5,85.5,86.2,6.1,No,55.9
S276,Male,23,5.4,59.2,70.1,5.4,Yes,47.7
S277,Female,19,4.9,69.3,100.0,6.3,No,73.7
S278,Male,23,3.3,75.0,73.9,7.0,Yes,50.2
S279,Male,22,4.6,77.1,70.9,6.5,Yes,64.2
S280,Female,23,3.7,85.4,63.4,6.2,Yes,60.2
S281,Female,21,4.7,80.1,70.0,5.3,Yes,47.1
S282,Female,20,5.8,62.0,65.7,6.9,Yes,51.5
S283,Male,21,7.7,82.6,78.6,5.2,Yes,76.5
S284,Male,23,2.0,85.3,82.4,7.9,Yes,55.6
S285,Female,21,8.8,84.7,56.2,7.1,Yes,60.4
S286,Female,22,0.6,91.0,48.0,5.3,Yes,49.5
S287,Male,19,4.2,88.0,40.5,6.6,No,55.5
S288,Female,21,5.7,83.5,75.6,6.1,Yes,62.7
S289,Male,22,5.1,77.2,51.4,7.4,Yes,49.5
S290,Female,19,3.3,58.1,35.7,8.6,Yes,50.7
S291,Female,20,4.1,83.2,73.8,4.7,Yes,72.0
S292,Male,23,3.5,80.5,100.0,7.1,Yes,76.9
S293,Male,20,3.3,81.3,67.9,6.8,No,58.0
S294,Female,18,6.2,62.7,80.6,7.8,Yes,57.8
S295,Female,22,5.2,65.0,69.2,7.3,Yes,51.7
S296,Female,19,3.1,90.6,66.5,6.1,Yes,62.0
S297,Female,21,6.3,77.5,81.8,6.6,Yes,69.8
S298,Female,20,5.1,86.2,63.6,6.0,Yes,69.4
S299,Female,19,6.1,78.3,72.0,8.3,Yes,68.9
S300,Female,22,5.8,78.4,72.8,7.0,No,52.5
S301,Male,18,2.8,89.3,58.0,9.3,Yes,64.1
S302,Male,20,3.4,71.8,82.9,6.9,No,54.0
S303,Male,23,6.0,79.2,65.4,6.1,Yes,57.4
S304,Female,19,5.7,72.5,56.7,5.2,Yes,55.6
S305,Male,23,4.5,72.8,76.0,4.8,Yes,72.8
S306,Female,19,4.7,74.3,54.5,5.1,Yes,73.5
S307,Female,19,7.1,80.7,68.4,7.3,No,68.7
S308,Female,22,3.3,72.3,67.9,7.6,Yes,54.5
S309,Male,22,5.6,93.1,84.3,5.1,Yes,73.0
S310,Male,22,4.1,67.3,75.1,8.1,Yes,65.2
S311,Male,21,4.1,75.8,67.6,6.4,Yes,54.7
S312,Male,19,6.7,72.7,80.3,7.2,Yes,78.8
S313,Male,20,6.2,95.4,88.9,8.9,Yes,77.2
S314,Female,23,6.1,80.4,76.4,8.1,Yes,69.8
S315,Female,22,7.1,90.4,68.2,6.7,Yes,71.0
S316,Female,22,4.5,60.2,48.3,5.9,Yes,49.1
S317,Female,23,5.9,81.2,52.0,4.4,Yes,59.8
S318,Male,23,3.9,88.7,63.4,6.1,Yes,53.7
S319,Female,19,5.1,79.0,58.9,6.7,No,52.7
S320,Female,22,4.2,90.8,65.2,5.8,Yes,51.9
S321,Male,23,4.7,71.8,68.8,6.8,Yes,60.9
S322,Female,21,5.7,94.9,75.9,7.1,Yes,73.7
S323,Male,21,2.9,100.0,66.9,6.7,Yes,64.1
S324,Female,22,8.7,73.6,75.3,6.2,Yes,79.0
S325,Female,23,2.5,72.7,69.0,7.2,Yes,54.5
S326,Male,19,2.1,95.4,38.4,7.5,Yes,52.8
S327,Female,19,6.8,97.0,53.9,5.7,Yes,53.6
S328,Female,19,6.1,71.7,65.8,8.7,No,57.9
S329,Female,18,5.7,73.0,49.9,6.9,Yes,57.7
S330,Male,22,5.8,74.6,77.0,7.0,Yes,69.6
S331,Female,19,4.5,61.9,91.0,7.8,Yes,62.1
S332,Male,21,2.7,67.0,86.3,7.3,Yes,59.6
S333,Male,23,4.7,66.0,64.8,8.1,No,45.2
S334,Male,20,3.1,68.8,90.4,7.3,Yes,60.4
S335,Female,20,6.5,77.6,70.2,6.3,Yes,68.7
S336,Female,19,4.2,80.8,62.9,7.4,Yes,61.5
S337,Female,20,2.8,96.6,58.8,5.6,Yes,59.5
S338,Female,20,3.9,66.0,63.5,7.1,Yes,53.5
S339,Male,18,5.3,89.8,62.2,7.0,Yes,61.1
S340,Male,21,3.4,75.4,70.6,6.8,Yes,52.4
S341,Male,21,2.9,77.4,70.4,6.8,Yes,61.5
S342,Male,18,5.0,86.1,68.0,4.7,Yes,62.9
S343,Male,18,5.0,64.5,74.6,6.3,Yes,61.8
S344,Male,20,3.5,82.6,85.9,7.1,Yes,61.4
S345,Male,22,3.6,80.0,82.2,7.2,Yes,48.2
S346,Male,23,5.0,83.9,45.7,5.8,Yes,59.4
S347,Male,23,1.6,81.5,30.0,8.5,Yes,38.1
S348,Male,20,1.7,100.0,82.0,6.0,Yes,57.9
S349,Female,23,3.1,70.3,47.5,8.2,Yes,52.4
S350,Female,18,4.1,71.6,64.6,7.5,Yes,52.9
S351,Female,21,5.1,70.5,50.4,6.2,Yes,58.2
S352,Male,23,7.5,71.3,41.0,9.1,Yes,58.1
S353,Male,20,6.2,70.4,76.1,5.6,No,66.7
S354,Female,22,4.2,92.3,79.4,8.1,No,57.5
S355,Male,20,4.5,95.0,59.4,8.2,No,69.2
S356,Male,19,2.5,71.2,30.0,6.2,Yes,40.4
S357,Male,20,4.5,68.0,59.8,8.7,Yes,51.9
S358,Male,18,3.9,83.7,73.9,6.7,Yes,62.3
S359,Male,21,5.1,71.4,45.8,7.3,Yes,37.8
S360,Male,21,2.8,85.6,70.8,7.3,Yes,62.0
S361,Female,23,5.5,80.4,67.8,6.8,Yes,53.9
S362,Male,18,7.6,59.8,76.7,8.0,Yes,54.3
S363,Male,19,4.3,96.6,69.8,8.0,No,53.9
S364,Female,18,5.3,99.6,53.4,4.9,Yes,66.2
S365,Male,20,5.9,70.6,85.9,8.6,Yes,63.1
S366,Male,18,3.7,73.3,65.6,5.0,Yes,64.5
S367,Female,18,4.9,81.4,67.6,8.2,No,57.6
S368,Male,19,4.5,82.0,54.0,8.4,Yes,43.7
S369,Male,20,4.7,85.9,61.4,5.7,Yes,49.8
S370,Male,22,3.0,100.0,54.7,6.5,No,64.9
S371,Male,22,4.5,75.9,65.4,5.7,Yes,55.3
S372,Female,21,5.5,68.4,93.7,6.7,Yes,63.9
S373,Female,23,7.4,61.4,47.4,6.6,Yes,52.8
S374,Male,18,6.4,69.2,43.8,7.9,Yes,55.1
S375,Female,21,8.8,77.6,90.1,8.6,Yes,83.8
S376,Male,19,3.0,99.5,64.9,8.7,Yes,71.8
S377,Male,22,6.2,71.8,58.0,6.3,No,53.5
S378,Female,18,4.9,80.7,83.6,6.7,No,56.6
S379,Male,19,8.9,77.8,58.9,5.0,Yes,58.6
S380,Male,23,2.9,92.3,95.4,6.0,Yes,71.0
S381,Male,19,2.8,100.0,78.2,8.2,Yes,59.4
S382,Male,18,3.3,71.6,60.7,8.9,Yes,47.2
S383,Male,23,0.5,72.1,100.0,5.5,Yes,63.7
S384,Female,19,3.4,90.5,58.9,6.3,Yes,55.8
S385,Male,23,3.0,86.2,79.1,7.0,Yes,62.7
S386,Male,18,4.8,100.0,72.5,7.3,Yes,61.6
S387,Male,18,5.2,85.0,87.5,6.0,No,66.8
S388,Female,23,8.3,73.7,91.4,7.5,Yes,67.2
S389,Female,20,6.4,85.1,68.5,6.4,Yes,69.9
S390,Female,21,3.3,91.3,56.7,7.0,Yes,63.1
S391,Female,19,2.7,87.8,74.9,7.7,Yes,48.4
S392,Female,19,5.5,84.1,57.8,7.0,Yes,51.7
S393,Male,20,1.9,90.8,98.2,6.5,Yes,58.0
S394,Female,20,8.2,92.0,70.0,6.9,Yes,64.9
S395,Female,20,6.9,94.6,62.5,6.9,Yes,64.4
S396,Female,22,3.6,85.8,70.8,6.6,Yes,49.7
S397,Female,22,1.1,76.0,47.8,6.7,Yes,37.9
S398,Male,23,7.2,79.8,53.4,8.9,Yes,53.0
S399,Male,22,4.3,92.5,86.0,7.7,No,70.9
S400,Male,18,7.0,68.2,58.1,6.6,Yes,57.2
S401,Female,23,1.3,82.4,52.3,7.8,No,44.0
S402,Male,19,3.3,73.3,76.0,6.6,Yes,59.5
S403,Male,21,4.5,78.3,85.8,8.4,No,63.0
S404,Female,18,4.6,93.3,78.8,7.4,Yes,65.4
S405,Male,19,3.6,80.3,82.9,6.9,Yes,75.1
S406,Female,19,5.7,78.6,56.6,7.5,Yes,66.7
S407,Male,23,2.4,61.7,46.7,5.1,Yes,32.3
S408,Male,20,4.2,87.0,90.5,5.6,Yes,73.9
S409,Male,20,4.7,85.7,63.2,5.6,Yes,63.9
S410,Female,18,5.5,100.0,64.2,7.2,Yes,56.8
S411,Male,20,5.9,74.3,87.9,9.1,Yes,75.4
S412,Male,19,2.3,80.6,76.3,9.7,Yes,71.6
S413,Female,20,1.4,81.0,74.8,7.8,Yes,49.6
S414,Male,22,7.1,96.9,100.0,7.6,Yes,74.3
S415,Female,20,5.2,76.9,58.3,4.8,Yes,61.5
S416,Female,19,3.0,81.3,81.9,6.3,Yes,63.7
S417,Male,23,7.6,85.3,68.9,6.1,Yes,69.6
S418,Female,18,4.7,80.2,72.0,6.3,Yes,63.1
S419,Male,21,6.9,72.6,90.9,6.8,Yes,73.0
S420,Female,20,4.6,80.3,75.6,6.4,No,52.8
S421,Male,19,8.6,90.9,76.1,4.6,Yes,77.8
S422,Female,21,8.0,65.7,84.1,7.9,Yes,77.0
S423,Male,21,4.0,79.6,62.5,5.7,Yes,53.7
S424,Female,22,6.4,69.6,55.4,7.3,Yes,55.3
S425,Male,21,5.8,92.3,52.3,9.5,Yes,50.0
S426,Male,23,7.2,59.7,38.5,5.9,Yes,50.6
S427,Male,19,2.6,71.3,98.8,4.0,Yes,67.1
S428,Male,19,5.9,82.5,51.5,6.7,Yes,55.4
S429,Female,20,6.6,96.8,64.7,8.3,Yes,74.9
S430,Male,20,1.0,77.2,63.8,9.4,Yes,50.4
S431,Female,20,2.1,71.3,72.6,5.5,Yes,57.6
S432,Female,23,0.5,100.0,80.2,7.6,Yes,55.3
S433,Female,21,4.0,60.6,80.9,6.4,Yes,57.9
S434,Male,21,5.9,51.6,59.3,6.9,Yes,50.1
S435,Male,22,7.5,83.3,65.5,10.0,No,68.5
S436,Female,23,4.6,72.0,72.2,5.2,No,55.2
S437,Male,20,7.8,65.7,64.3,7.3,Yes,59.4
S438,Male,18,1.7,86.5,92.1,7.6,Yes,71.5
S439,Female,22,1.1,80.9,75.4,8.3,Yes,54.4
